beachName,closedDate,notes
South Shore,2014-08-30,
Oakwood,2014-08-30,
Rainbow,2014-08-29,
Oakwood,2014-08-29,
12th Street,2014-08-29,
Juneway,2014-08-29,
Rainbow,2014-08-27,
South Shore,2014-08-27,
63rd Street,2014-08-27,
Montrose,2014-08-27,
Humboldt Park,2014-08-25,
South Shore,2014-08-24,
63rd Street,2014-08-24,
Humboldt Park,2014-08-24,
North Avenue,2014-08-24,
Montrose,2014-08-24,
Foster,2014-08-24,
Calumet,2014-08-22,predictive modeling
Montrose,2014-08-22,predictive modeling
Humboldt Park,2014-08-21,
Calumet,2014-08-15,
Rainbow,2014-08-14,
12th Street,2014-08-13,
Foster,2014-08-13,
Osterman,2014-08-13,
Lane,2014-08-13,
Leone,2014-08-13,
Loyola,2014-08-13,
Jarvis,2014-08-13,
Fargo,2014-08-13,
Rogers Park,2014-08-13,
Juneway,2014-08-13,
Calumet,2014-08-13,
Rainbow,2014-08-13,
South Shore,2014-08-13,
63rd Street,2014-08-13,
57th Street,2014-08-13,
Oakwood,2014-08-13,
31st Street,2014-08-13,
Calumet,2014-08-12,
Rainbow,2014-08-12,
South Shore,2014-08-12,
Montrose,2014-08-12,
Juneway,2014-08-12,
Montrose,2014-08-11,
Calumet,2014-08-09,
12th Street,2014-08-09,
Osterman,2014-08-09,
Lane,2014-08-09,
North Avenue,2014-08-08,
Calumet,2014-08-07,
Rainbow,2014-08-07,
South Shore,2014-08-07,
63rd Street,2014-08-07,
57th Street,2014-08-07,
12th Street,2014-08-07,
Ohio Street,2014-08-07,
Montrose,2014-08-06,
Humboldt Park,2014-08-06,
Calumet,2014-08-05,
Rainbow,2014-08-05,
South Shore,2014-08-05,
63rd Street,2014-08-05,
57th Street,2014-08-05,
Oakwood,2014-08-05,
31st Street,2014-08-05,
12th Street,2014-08-05,
Ohio Street,2014-08-05,
Montrose,2014-08-05,
Foster,2014-08-05,
Loyola,2014-08-05,
Leone,2014-08-05,
Humboldt Park,2014-08-05,
Calumet,2014-08-01,
Rainbow,2014-08-01,
South Shore,2014-08-01,
63rd Street,2014-08-01,
57th Street,2014-08-01,
Oakwood,2014-08-01,
Calumet,2014-07-30,
Rainbow,2014-07-30,
South Shore,2014-07-30,
63rd Street,2014-07-30,
57th Street,2014-07-30,
Oakwood,2014-07-30,
Columbia,2014-07-29,
Hartigan,2014-07-29,
Leone,2014-07-29,
Rogers Park,2014-07-29,
Howard,2014-07-29,
Jarvis,2014-07-29,
Fargo,2014-07-29,
Juneway,2014-07-29,
31st Street,2014-07-29,
12th Street,2014-07-29,
Montrose,2014-07-29,
